[ 2013-01-04T15:07:37+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-01-04T15:07:37+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.005503s ]
[ 2013-01-04T15:07:37+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.005633s ]
[ 2013-01-04T15:11:20+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T15:11:20+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002027s ]
[ 2013-01-04T15:11:20+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002131s ]
[ 2013-01-04T15:46:24+08:00 ] /?m=index&a=index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:46:55+08:00 ] /?m=index&a=Index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:47:25+08:00 ] /?m=index&a=index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:48:14+08:00 ] /index.php?m=index&a=index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:48:37+08:00 ] /index.php/index/index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:50:08+08:00 ] /index.php/index/index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:50:10+08:00 ] /index.php/index/index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:50:24+08:00 ] /index.php/index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:50:33+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T15:50:33+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001214s ]
[ 2013-01-04T15:50:33+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001349s ]
[ 2013-01-04T15:50:44+08:00 ] /index.php?m=index&a=index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:52:31+08:00 ] /index.php/index/index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T15:52:36+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2013-01-04T15:52:36+08:00 ] /index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001150s ]
[ 2013-01-04T15:52:36+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001282s ]
[ 2013-01-04T15:52:36+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T15:52:36+08:00 ] /index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000796s ]
[ 2013-01-04T15:52:36+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000851s ]
[ 2013-01-04T16:12:22+08:00 ] /caidan/root/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:12:22+08:00 ] /caidan/root/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002689s ]
[ 2013-01-04T16:12:22+08:00 ] /caidan/root/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002895s ]
[ 2013-01-04T16:19:32+08:00 ] /caidan/root/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:19:32+08:00 ] /caidan/root/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002940s ]
[ 2013-01-04T16:19:32+08:00 ] /caidan/root/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003123s ]
[ 2013-01-04T16:22:00+08:00 ] /caidan/root/index.php | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:22:00+08:00 ] /caidan/root/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003551s ]
[ 2013-01-04T16:22:00+08:00 ] /caidan/root/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003772s ]
[ 2013-01-04T16:26:58+08:00 ] /caidan/root/index.php/index | ERR: (ThinkException) 无法加载模块index
[ 2013-01-04T16:27:03+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-01-04T16:27:03+08:00 ] /caidan/root/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.003049s ]
[ 2013-01-04T16:27:03+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003258s ]
[ 2013-01-04T16:27:03+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:27:03+08:00 ] /caidan/root/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002686s ]
[ 2013-01-04T16:27:03+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002799s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.004945s ]
