[ 2012-12-16T15:15:05+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001133s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001234s ]
[ 2012-12-16T15:15:05+08:00 ] / | SQL: DESCRIBE caidan_menu [ RunTime:0.002595s ]
[ 2012-12-16T15:15:05+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:15:05+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:15:05+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:15:05+08:00 ] / | SQL: select id, name, description from caidan_menu [ RunTime:0.001307s ]
[ 2012-12-16T15:15:05+08:00 ] / | NOTIC: [2] Missing argument 3 for MemcacheModel::set(), called in F:\AppServ\www\caidan\www\Lib\Model\UtilityModel\MenuUtilityModel.class.php on line 56 and defined MemcacheModel.class.php 第 5 行.
[ 2012-12-16T15:15:05+08:00 ] / | NOTIC: [8] Undefined variable: time MemcacheModel.class.php 第 7 行.
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001892s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001987s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.020042s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020122s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001017s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000995s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000845s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001076s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004102s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002572s ]
[ 2012-12-16T15:15:05+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002660s ]
[ 2012-12-16T15:16:33+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:16:33+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000706s ]
[ 2012-12-16T15:16:33+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000843s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000804s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000919s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.012903s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012983s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000320s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000350s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000254s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000420s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001505s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001529s ]
[ 2012-12-16T15:16:34+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001620s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000502s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000603s ]
[ 2012-12-16T15:16:58+08:00 ] / | SQL: DESCRIBE caidan_menu [ RunTime:0.002337s ]
[ 2012-12-16T15:16:58+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:16:58+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:16:58+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:16:58+08:00 ] / | SQL: select id, name, description from caidan_menu [ RunTime:0.001353s ]
[ 2012-12-16T15:16:58+08:00 ] / | NOTIC: [2] Missing argument 3 for MemcacheModel::set(), called in F:\AppServ\www\caidan\www\Lib\Model\UtilityModel\MenuUtilityModel.class.php on line 56 and defined MemcacheModel.class.php 第 5 行.
[ 2012-12-16T15:16:58+08:00 ] / | NOTIC: [8] Undefined variable: time MemcacheModel.class.php 第 7 行.
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000501s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000563s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ view_parse ] --START--
