[ 2013-01-05T11:17:06+08:00 ] /caidan/root/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T11:17:06+08:00 ] /caidan/root/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.014335s ]
[ 2013-01-05T11:17:06+08:00 ] /caidan/root/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.014603s ]
[ 2013-01-05T11:17:06+08:00 ] /caidan/root/ | INFO: Tag[ view_template ] --START--
[ 2013-01-05T11:17:06+08:00 ] /caidan/root/ | INFO: Run LocationTemplate Behavior [ RunTime:0.011093s ]
[ 2013-01-05T11:17:06+08:00 ] /caidan/root/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.011301s ]
[ 2013-01-05T11:17:06+08:00 ] /caidan/root/ | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Run ParseTemplate Behavior [ RunTime:0.186450s ]
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.186581s ]
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Tag[ view_filter ] --START--
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Run ContentReplace Behavior [ RunTime:0.015444s ]
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Run TokenBuild Behavior [ RunTime:0.018112s ]
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003984s ]
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Run ShowRuntime Behavior [ RunTime:0.008703s ]
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.046974s ]
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 120 行.
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 121 行.
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 122 行.
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Tag[ view_end ] --START--
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.012436s ]
[ 2013-01-05T11:17:07+08:00 ] /caidan/root/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.012565s ]
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Tag[ route_check ] --START--
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Run CheckRoute Behavior [ RunTime:0.037323s ]
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Tag[ route_check ] --END-- [ RunTime:0.037511s ]
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002168s ]
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002290s ]
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Tag[ view_template ] --START--
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Run LocationTemplate Behavior [ RunTime:0.003736s ]
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Tag[ view_template ] --END-- [ RunTime:0.003915s ]
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for ../www/Runtime/temp\3fcea75dc5f68291f0e872dd4876944c62db139d.file.index.html.php smarty_resource.php 第 720 行.
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | NOTIC: [2] unlink(../www/Runtime/temp\3fcea75dc5f68291f0e872dd4876944c62db139d.file.index.html.php) [<a href='function.unlink'>function.unlink</a>]: No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Run ParseTemplate Behavior [ RunTime:0.099895s ]
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Tag[ view_parse ] --END-- [ RunTime:0.100008s ]
[ 2013-01-05T11:17:15+08:00 ] /caidan/root/index.php/boot | INFO: Tag[ view_filter ] --START--
